ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
60619084,A estrenar,78,m²,78,m²,19.346804100000000,-99.200289200000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-altavista-60619084.html
60600408,14  Antigüedad,65,m²,65,m²,19.465909400000000,-99.146307100000000,https://www.inmuebles24.com/propiedades/azcapotzalco-la-raza-sams-departamento-ubicadisimo-60600408.html
58863813,A estrenar,67,m²,67,m²,19.445875400000000,-99.150473400000000,https://www.inmuebles24.com/propiedades/departamentos-nuevos-2-y-3-recamaras-escrituras-gratis-58863813.html
58869317,A estrenar,67,m²,67,m²,19.445875400000000,-99.150473400000000,https://www.inmuebles24.com/propiedades/departamentos-2-y-3-recamaras-escrituracion-al-100-58869317.html
60373929,A estrenar,118,m²,118,m²,19.380393100000000,-99.147690799999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-vertiz-narvarte-colonia-60373929.html
60321080,8  Antigüedad,0,,0,,19.430267800000000,-99.137313600000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-centro-60321080.html
60480255,4  Antigüedad,96,m²,96,m²,19.367482300000000,-99.299008500000000,https://www.inmuebles24.com/propiedades/bonito-departamento-a-15-minutos-de-santa-fe-60480255.html
60304004,15  Antigüedad,0,,53,m²,19.378109800000000,-99.142520600000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-con-excelente-ubicacion-60304004.html
60635873,18  Antigüedad,65,m²,65,m²,19.452829400000000,-99.118567000000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-popular-rastro-60635873.html
60628396,50  Antigüedad,50,m²,50,m²,19.455278600000000,-99.140636800000000,https://www.inmuebles24.com/propiedades/venta-departamento-tlatelolco-excelente-ubicacion-60628396.html
59969787,20  Antigüedad,121,m²,121,m²,19.424548000000000,-99.171959600000000,https://www.inmuebles24.com/propiedades/se-vende-departamento-a-m-de-paseo-de-la-reforma-59969787.html
60619327,3  Antigüedad,60,m²,60,m²,19.419525600000000,-99.162549000000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-roma-60619327.html
59505800,A estrenar,45,m²,50,m²,19.441356300000000,-99.180214700000000,https://www.inmuebles24.com/propiedades/departamentos-economicos-cerca-de-polanco-59505800.html
60598201,10  Antigüedad,102,m²,102,m²,19.379715100000000,-99.167713200000000,https://www.inmuebles24.com/propiedades/bonito-departamento-centrico-60598201.html
60591505,9  Antigüedad,0,,103,m²,19.304723400000000,-99.183149100000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-60591505.html
60564430,1  Antigüedad,0,,120,m²,19.318155700000000,-99.220715000000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-san-jeronimo-aculco-60564430.html
60568212,20  Antigüedad,0,,60,m²,19.390357900000000,-99.212751800000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-camino-real-a-toluca-60568212.html
60565364,A estrenar,58,m²,58,m²,19.429524000000000,-99.107968899999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-colonia-moctezuma-1a.-seccion-60565364.html
60562675,9  Antigüedad,123,m²,123,m²,19.375445000000000,-99.154314399999990,https://www.inmuebles24.com/propiedades/hermoso-departamento-en-venta-colonia-letran-valle-60562675.html
60548568,10  Antigüedad,145,m²,145,m²,19.362837800000000,-99.174274400000000,https://www.inmuebles24.com/propiedades/se-vende-amplio-y-hermoso-departamento-en-colonia-60548568.html
60542770,12  Antigüedad,58,m²,58,m²,19.447346200000000,-99.159120300000000,https://www.inmuebles24.com/propiedades/excelente-departamento-en-una-de-las-colonias-con-60542770.html
60540320,6  Antigüedad,126,m²,126,m²,19.376541300000000,-99.180214700000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-entrega-inmediata.-extremadura-60540320.html
60539376,A estrenar,102,m²,102,m²,19.391589200000000,-99.159316199999990,https://www.inmuebles24.com/propiedades/hermoso-ph-en-venta-en-del-valle-60539376.html
59039093,40  Antigüedad,204,m²,165,m²,19.408590000000000,-99.169214799999990,https://www.inmuebles24.com/propiedades/departamento-remodelado-en-venta-en-hipodromo-59039093.html
60529070,30  Antigüedad,80,m²,80,m²,19.371518900000000,-99.147240000000000,https://www.inmuebles24.com/propiedades/comodo-departamento-interior.-pb-3r-2b-1e-60529070.html
60528128,A estrenar,74,m²,74,m²,19.419525600000000,-99.162549000000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-roma-norte-60528128.html
60516441,40  Antigüedad,65,m²,65,m²,19.471051100000000,-99.126182300000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-industrial-60516441.html
60511816,En construcción  Antigüedad,108,m²,115,m²,19.392570600000000,-99.165821799999990,https://www.inmuebles24.com/propiedades/departamento-compartido-en-venta-en-del-valle-60511816.html
60508351,20  Antigüedad,72,m²,72,m²,19.515791400000000,-99.134502099999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-la-purisima-ticoman-60508351.html
59578008,7  Antigüedad,51,m²,51,m²,19.416317100000000,-99.126785500000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-lorenzo-boturini-59578008.html
59746248,3  Antigüedad,0,,180,m²,19.417510000000000,-99.159599899999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-roma-59746248.html
60493376,10  Antigüedad,4686,m²,56,m²,19.477508500000000,-99.185607100000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-excelente-zona-60493376.html
60490470,30  Antigüedad,85,m²,85,m²,19.398569200000000,-99.171709999999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-napoles-60490470.html
60489974,45  Antigüedad,84,m²,84,m²,19.428764200000000,-99.155299300000000,https://www.inmuebles24.com/propiedades/hermoso-departamento-col-juarez-60489974.html
60486089,6  Antigüedad,60,m²,54,m²,19.434944500000000,-99.145122899999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-centro-60486089.html
60479020,47  Antigüedad,270,m²,270,m²,19.392127400000000,-99.179205900000000,https://www.inmuebles24.com/propiedades/departamento-en-colonia-napoles-a-2-minutos-del-wtc-60479020.html
60477549,1  Antigüedad,0,,74,m²,19.360402400000000,-99.149766400000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-portales-sur-60477549.html
60475169,6  Antigüedad,0,,256,m²,19.356024800000000,-99.204389900000000,https://www.inmuebles24.com/propiedades/penthouse-en-venta-en-las-aguilas-60475169.html
60457466,6  Antigüedad,60,m²,60,m²,19.447682700000000,-99.141990700000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-guerrero-60457466.html
60445617,A estrenar,0,,75,m²,19.415546400000000,-99.138596600000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-obrera-60445617.html
60425878,8  Antigüedad,0,,75,m²,19.386494700000000,-99.143539800000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-ninos-heroes-60425878.html
60413928,10  Antigüedad,150,m²,150,m²,19.365413900000000,-99.174342000000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-buena-ubicacion-60413928.html
59452222,A estrenar,0,,0,,19.410140500000000,-99.182086800000010,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-condesa-59452222.html
57920451,5  Antigüedad,0,,320,m²,19.383824100000000,-99.254307500000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-privada-de-tamarindos-57920451.html
60379852,1  Antigüedad,81,m²,74,m²,19.426176900000000,-99.173814900000000,https://www.inmuebles24.com/propiedades/lindo-departamento-a-unos-pasos-de-la-glorieta-de-la-60379852.html
60368297,18  Antigüedad,0,,52,m²,19.282590800000000,-99.187605600000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-miguel-hidalgo-60368297.html
60367644,5  Antigüedad,1000,m²,116,m²,19.282725600000000,-99.215422199999990,https://www.inmuebles24.com/propiedades/departamento-de-tres-recamaras-con-terraza-privada-en-60367644.html
60038331,25  Antigüedad,0,,90,m²,19.362816800000000,-99.191512400000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-los-alpes-60038331.html
60360135,45  Antigüedad,85,m²,85,m²,19.309738200000000,-99.216026599999990,https://www.inmuebles24.com/propiedades/departamento-excelente-ubicacion-al-sur-de-cdmx-60360135.html
60357764,10  Antigüedad,101,m²,101,m²,19.441449600000000,-99.181714899999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-col.-anzures-60357764.html
60344833,1  Antigüedad,50,m²,50,m²,19.459282400000000,-99.123142000000000,https://www.inmuebles24.com/propiedades/bonito-departamento-centrico-y-seguro-60344833.html
58528380,A estrenar,47,m²,47,m²,19.451304900000000,-99.143679600000000,https://www.inmuebles24.com/propiedades/departamentos-en-la-colonia-guerrero-excelente-58528380.html
60324577,A estrenar,94,m²,94,m²,19.431200700000000,-99.169017599999990,https://www.inmuebles24.com/propiedades/vendo-espectacular-depto-a-estrenar!-gran-oportunidad!-60324577.html
60315768,20  Antigüedad,60,m²,60,m²,19.342329800000000,-99.061091199999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-los-angeles-apanoaya-60315768.html
59028990,A estrenar,60,m²,57,m²,19.356579900000000,-99.298128600000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-cuajimalpa-de-morelos-muy-59028990.html
60303407,10  Antigüedad,0,,57,m²,19.402915300000000,-99.182983299999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-escandon-60303407.html
60302515,20  Antigüedad,51,m²,51,m²,19.444689100000000,-99.143532999999990,https://www.inmuebles24.com/propiedades/departamento-centrico-eje-1-norte-cdmx-en-venta-60302515.html
59653381,A estrenar,44,m²,44,m²,19.398666200000000,-99.090524899999990,https://www.inmuebles24.com/propiedades/bonito-departamento-a-5-min.-de-foro-sol!-59653381.html
59515284,A estrenar,44,m²,44,m²,19.398666200000000,-99.090524899999990,https://www.inmuebles24.com/propiedades/preventa-a-10-min.-del-cenart-churubusco-59515284.html
60617859,A estrenar,62,m²,62,m²,19.435706800000000,-99.131757000000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-centro-60617859.html
59836633,A estrenar,50000,m²,43000,m²,19.399297400000000,-99.091950900000000,https://www.inmuebles24.com/propiedades/!excelente-ubicacion-y-precio!-59836633.html
60539767,2  Antigüedad,124,m²,124,m²,19.366061700000000,-99.298193300000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-cerca-santa-fe-e-interlomas-60539767.html
60465655,A estrenar,45,m²,45,m²,19.398602500000000,-99.090619699999990,https://www.inmuebles24.com/propiedades/departamento-de-2-recamaras-en-venta-en-granjas-mexico-60465655.html
59836390,3  Antigüedad,60,m²,60,m²,19.350189700000000,-99.298573199999990,https://www.inmuebles24.com/propiedades/departamento-1-recamara-en-venta-en-contadero-59836390.html
60364323,6  Antigüedad,0,,197,m²,19.364091300000000,-99.278984200000000,https://www.inmuebles24.com/propiedades/departamento-unico-en-su-tipo-en-venta-en-residencial-60364323.html
60353227,1  Antigüedad,0,,33,m²,19.492463300000000,-99.169398700000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-industrial-vallejo-60353227.html
60340008,30  Antigüedad,0,,58,m²,19.278225800000000,-99.167189600000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-granjas-coapa-60340008.html
59286975,9  Antigüedad,0,,118,m²,19.413209900000000,-99.161031799999990,https://www.inmuebles24.com/propiedades/loft-2-pisos-con-terraza-de-lujo!-59286975.html
58300022,50  Antigüedad,800,m²,112,m²,19.380181200000000,-99.171498599999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-58300022.html
59530080,10  Antigüedad,60,m²,60,m²,19.308350000000000,-99.136027000000010,https://www.inmuebles24.com/propiedades/departamento-en-venta-muy-cerca-de-fuentes-plaza-59530080.html
59778916,10  Antigüedad,0,,93,m²,19.372682600000000,-99.151798800000000,https://www.inmuebles24.com/propiedades/bonito-departamento-en-venta-en-portales-de-93-59778916.html
60411893,7  Antigüedad,0,,115,m²,19.335791600000000,-99.175709599999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-san-angel-60411893.html
59456830,5  Antigüedad,50,m²,50,m²,19.404115100000000,-99.142393900000000,https://www.inmuebles24.com/propiedades/habita-tu-proximo-depto-de-inmediato-acepto-renta-a-59456830.html
60634676,A estrenar,60,m²,60,m²,19.459506700000000,-99.161994299999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-atlampa-60634676.html
60631482,15  Antigüedad,64,m²,60,m²,19.385306000000000,-99.143436600000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-ninos-heroes-60631482.html
59672877,3  Antigüedad,0,,68,m²,19.471450300000000,-99.161357500000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-gas-59672877.html
60619198,3  Antigüedad,0,,134,m²,19.390573000000000,-99.149228999999990,https://www.inmuebles24.com/propiedades/penthouse-en-venta-en-narvarte-60619198.html
60619226,10  Antigüedad,80,m²,80,m²,19.299924100000000,-99.210814200000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-jardines-del-pedregal-de-san-60619226.html
60618247,A estrenar,75,m²,75,m²,19.371633600000000,-99.179750800000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-insurgentes-mixcoac-60618247.html
60617946,A estrenar,89,m²,89,m²,19.417067300000000,-99.139660100000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-obrera-60617946.html
60616973,A estrenar,87,m²,87,m²,19.394931000000000,-99.172727900000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-del-valle-60616973.html
59917384,35  Antigüedad,73,m²,73,m²,19.525196100000000,-99.145611300000000,https://www.inmuebles24.com/propiedades/acueducto-de-guadalupe-muy-buen-departamento-59917384.html
59708011,17  Antigüedad,186,m²,186,m²,19.411406700000000,-99.176896800000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-hipodromo-condesa-59708011.html
60605356,16  Antigüedad,200,m²,200,m²,19.369497900000000,-99.250111600000000,https://www.inmuebles24.com/propiedades/oportunidad:-departamento-en-venta-en-santa-fe-la-loma-60605356.html
60602862,19  Antigüedad,70,m²,70,m²,19.316248100000000,-99.088859599999990,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-lomas-estrella-60602862.html
60596576,4  Antigüedad,0,,50,m²,19.480186900000000,-99.175283400000000,https://www.inmuebles24.com/propiedades/hermoso-departamento-en-venta-60596576.html
60595758,7  Antigüedad,70,m²,70,m²,19.377860900000000,-99.136502999999990,https://www.inmuebles24.com/propiedades/departamento-compartido-en-venta-en-nativitas-60595758.html
60593396,10  Antigüedad,53,m²,53,m²,19.458225800000000,-99.137987500000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-ex-hipodromo-de-peralvillo-60593396.html
60592285,A estrenar,0,,53,m²,19.442454800000000,-99.185426100000000,https://www.inmuebles24.com/propiedades/loft-a-estrenar-en-nuevo-polanco-etre-60592285.html
60592015,A estrenar,0,,164,m²,19.408191200000000,-99.174699400000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-hipodromo-60592015.html
60589121,31  Antigüedad,90,m²,90,m²,19.421527900000000,-99.151755600000020,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-doctores-60589121.html
60588982,6  Antigüedad,120,m²,60,m²,19.514122900000000,-99.203131900000000,https://www.inmuebles24.com/propiedades/casa-en-remate-bancario-adj-6-meses-garantizado-60588982.html
59797429,50  Antigüedad,0,,215,m²,19.435437600000000,-99.209774200000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-av-horacio-polanco-59797429.html
60582468,52  Antigüedad,65,m²,64,m²,19.407399600000000,-99.157128100000000,https://www.inmuebles24.com/propiedades/departamento-reciciente-renodelacion-en-venta-en-roma-60582468.html
60582330,35  Antigüedad,32,m²,32,m²,19.386253900000000,-99.099567200000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-mujeres-ilustres-60582330.html
60579919,15  Antigüedad,63,m²,63,m²,19.445171600000000,-99.094096100000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-transvaal-126-eje-2-norte-60579919.html
60575057,1  Antigüedad,109,m²,100,m²,19.295862200000000,-99.127633400000000,https://www.inmuebles24.com/propiedades/hermoso-y-amplio-departamento-planta-baja-en-venta-en-60575057.html
60574853,35  Antigüedad,0,,72,m²,19.309473100000000,-99.219553300000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-fuentes-del-pedregal-60574853.html
60573354,11  Antigüedad,65,m²,65,m²,19.306035400000000,-99.182356000000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-insurgentes-cuicuilco-60573354.html
60570113,A estrenar,109,m²,109,m²,19.271122100000000,-99.152049200000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-fuentes-de-tepepan-60570113.html
58634258,5  Antigüedad,24750,m²,62500,m²,19.368227500000000,-99.285086700000010,https://www.inmuebles24.com/propiedades/magnifico-departamento-en-venta-en-san-jose-de-los-58634258.html
59773549,2  Antigüedad,10,m²,10,m²,19.374399600000000,-99.139350200000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-zacahuitzco-59773549.html
60565895,5  Antigüedad,60,m²,60,m²,19.418434400000000,-99.155818700000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-roma-60565895.html
60565171,15  Antigüedad,95,m²,95,m²,19.380991200000000,-99.184151300000000,https://www.inmuebles24.com/propiedades/departamento-en-venta-trato-directo-holbein-50-60565171.html
60561745,5  Antigüedad,0,,82,m²,19.421049900000000,-99.168265400000010,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-roma-60561745.html
60561640,2  Antigüedad,145,m²,145,m²,19.366722200000000,-99.296383999999990,https://www.inmuebles24.com/propiedades/excelente-departamento.-60561640.html
60556569,24  Antigüedad,129,m²,129,m²,19.292384100000000,-99.148445000000000,https://www.inmuebles24.com/propiedades/departamento-de-129-m-60556569.html
