ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
60760117,A estrenar,113,m²,151,m²,19.4065417,-99.1445265,https://www.inmuebles24.com/propiedades/hermoso-pent-house-nuevo-en-venta-en-cuauhtemoc-ciudad-60760117.html
57285376,1  Antigüedad,69,m²,69,m²,19.4168,-99.1556,https://www.inmuebles24.com/propiedades/departamento-gh3-en-venta-en-cuauhtemoc-ciudad-de-57285376.html
60742288,30  Antigüedad,231,m²,231,m²,19.324,-99.2159,https://www.inmuebles24.com/propiedades/departamento-en-venta-jardines-del-pedregal.-alvaro-60742288.html
60674471,5  Antigüedad,0,,89,m²,19.2733896,-99.20856815,https://www.inmuebles24.com/propiedades/jardines-del-ajusco.-miguel-hidalgo-4ta-seccion-60674471.html
59210777,A estrenar,154,m²,154,m²,19.3857619,-99.1712823,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-colonia-del-valle-benito-59210777.html
60834797,26  Antigüedad,120,m²,0,,19.39027985,-99.16754534,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicado-en-del-valle-centro-60834797.html
59258104,2   Recámaras,143,m²,173,m²,19.428452,-99.186833,https://www.inmuebles24.com/propiedades/departamento-lujoso-en-calle-tres-picos-polanco-59258104.html
60828367,A estrenar,70,m²,0,,19.36591553,-99.29812857,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicado-en-manzanastitla-60828367.html
60817580,14  Antigüedad,60,m²,0,,19.4459755,-99.136549,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicado-en-col.-morelos-del.-60817580.html
60817512,15  Antigüedad,68,m²,0,,19.38427328,-99.14446407,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicado-en-ninos-heroes-benito-60817512.html
60817431,A estrenar,270,m²,0,,19.43137318,-99.21475804,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicado-en-las-lomas-de-60817431.html
60817395,A estrenar,81,m²,0,,19.36974632,-99.28701915,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicadao-en-san-jose-de-los-60817395.html
60817392,A estrenar,50,m²,0,,19.37041789,-99.28666458,https://www.inmuebles24.com/propiedades/departamento-en-venta-ubicada-en-san-jose-de-los-60817392.html
60817389,A estrenar,203,m²,0,,19.43089857,-99.21503524,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-las-lomas-de-chapultepec-60817389.html
60817387,A estrenar,109,m²,0,,19.38245754,-99.15923348,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-narvarte-poniente-benito-60817387.html
60816874,A estrenar,110,m²,0,,19.39204719,-99.14716849,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-narvarte-oriente-benito-60816874.html
60816866,A estrenar,65,m²,0,,19.45307801,-99.15608168,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-santa-maria-la-rivera-60816866.html
60816863,A estrenar,65,m²,0,,19.45339905,-99.15678514,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-santa-maria-la-rivera-60816863.html
60816628,A estrenar,57,m²,0,,19.4140412,-99.13080545,https://www.inmuebles24.com/propiedades/departamento-nuevo-en-venta-ubicado-av-del-taller-60816628.html
60814485,A estrenar,194,m²,194,m²,19.4303851,-99.2010987,https://www.inmuebles24.com/propiedades/ventas-tow-house-goldsmith-polanco-iii-miguel-hidalgo-60814485.html
60811100,12  Antigüedad,280,m²,0,,19.4332837,-99.2126946,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-reforma-social-entre-polanco-60811100.html
60473833,A estrenar,103,m²,103,m²,19.3604742,-99.0901865,https://www.inmuebles24.com/propiedades/departamento-en-venta-colonia-san-pablo-acaldia-60473833.html
60759657,4  Antigüedad,0,,90,m²,19.4501234,-99.1961354,https://www.inmuebles24.com/propiedades/desarrollos-inmobiliarios-ciudad-mexico-departamentos-60759657.html
60759553,4  Antigüedad,0,,90,m²,19.4294186,-99.1802153,https://www.inmuebles24.com/propiedades/departamentos-city-towers-polanco-miguel-hidalgo-60759553.html
60759303,4  Antigüedad,0,,90,m²,null,null,https://www.inmuebles24.com/propiedades/desarrollos-habitacionales-ciudad-mexico-departamento-60759303.html
60706728,4  Antigüedad,0,,109,m²,19.3711868,-99.1793397,https://www.inmuebles24.com/propiedades/departamentos-colonia-napoles-benito-juarez-ciudad-de-60706728.html
58943742,A estrenar,68,m²,68,m²,19.424459,-99.0654739,https://www.inmuebles24.com/propiedades/venta-departamento-moctezuma1a-secc.-ciudad-de-mexico-58943742.html
60668707,A estrenar,0,,80,m²,19.3734459,-99.1393889,https://www.inmuebles24.com/propiedades/departamentos-nuevos-del.-benito-juarez-cdmx-ciudad-de-60668707.html
60668595,A estrenar,0,,80,m²,19.3672839,-99.1628635,https://www.inmuebles24.com/propiedades/del.-benito-juarez-ciudad-de-mexico-venta-departamento-60668595.html
60621604,4  Antigüedad,0,,100,m²,19.3723335,-99.1905974,https://www.inmuebles24.com/propiedades/departamento-df-ciudad-mexico-desarrollos-cdmx-aceptan-60621604.html
60621586,4  Antigüedad,0,,100,m²,19.375445,-99.1543144,https://www.inmuebles24.com/propiedades/departamento-df-ciudad-mexico-2-o-3-recamaras-cdmx-con-60621586.html
60621554,4  Antigüedad,0,,100,m²,19.3834848,-99.1739857,https://www.inmuebles24.com/propiedades/departamento-df-ciudad-de-mexico-edificio-cdmx-60621554.html
60621535,4  Antigüedad,0,,100,m²,19.3726839,-99.1836755,https://www.inmuebles24.com/propiedades/departamento-df-ciudad-de-mexico-desarrollo-df-credito-60621535.html
60621494,3  Antigüedad,0,,100,m²,19.4856496,-99.1083017,https://www.inmuebles24.com/propiedades/departamento-df-ciudad-de-mexico-condominio-de-lujo-3-60621494.html
58697521,A estrenar,123,m²,123,m²,19.3568031,-99.2742706,https://www.inmuebles24.com/propiedades/departamento-en-renta-torre-300-lomas-de-santa-fe-58697521.html
60613427,29  Antigüedad,74,m²,74,m²,19.4308606,-99.1612617,https://www.inmuebles24.com/propiedades/departamento-en-venta-col-juarez-delegacion-60613427.html
60496225,15  Antigüedad,0,,49,m²,19.3930294,-99.0701574,https://www.inmuebles24.com/propiedades/calle-oriente-257-col-agricola-oriental-alcaldia-60496225.html
59717691,2   Recámaras,113,m²,113,m²,19.341017,-99.190857,https://www.inmuebles24.com/propiedades/eleva-venta-san-angel-departamento-ciudad-de-59717691.html
58389476,3   Recámaras,186,m²,186,m²,19.390981,-99.243916,https://www.inmuebles24.com/propiedades/venta-de-departamento-en-lomas-de-bezares-ciudad-de-58389476.html
59717686,2   Recámaras,118,m²,118,m²,19.341017,-99.190857,https://www.inmuebles24.com/propiedades/eleva-venta-san-angel-departamento-ciudad-de-59717686.html
