ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
56683798,10  Antigüedad,0,,90,m²,19.4814269,-99.1948158,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56683798.html
56683467,10  Antigüedad,0,,90,m²,19.3795579,-99.1933664,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56683467.html
56681043,10  Antigüedad,0,,90,m²,19.4515412,-99.1559287,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56681043.html
56614434,15  Antigüedad,0,,60,m²,19.4948834,-99.207075,https://www.inmuebles24.com/propiedades/-remate-de-departamento-56614434.html
56610941,10  Antigüedad,0,,90,m²,19.4572329,-99.1873635,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56610941.html
56609158,8  Antigüedad,0,,90,m²,19.4116332,-99.1610265,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56609158.html
56608779,10  Antigüedad,0,,90,m²,19.4464212,-99.1749027,https://www.inmuebles24.com/propiedades/remate-de-bonito-departamento-56608779.html
56608135,10  Antigüedad,0,,90,m²,19.3559118,-99.1219191,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56608135.html
56587049,15  Antigüedad,0,,90,m²,19.3830908,-99.1899949,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56587049.html
56478846,15  Antigüedad,0,,100,m²,19.3751246,-99.1646739,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56478846.html
56478763,10  Antigüedad,0,,120,m²,19.4820868,-99.1245818,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56478763.html
56434608,1  Antigüedad,0,,90,m²,19.4568362,-99.1413562,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56434608.html
56409800,A estrenar,65,m²,65,m²,19.4406425,-99.139995,https://www.inmuebles24.com/propiedades/departamentos-en-eje-central-lazaro-cardenas-2-56409800.html
56396908,15  Antigüedad,0,,60,m²,19.4458276,-99.1860608,https://www.inmuebles24.com/propiedades/-remate-de-departamento-56396908.html
56387716,11  Antigüedad,0,,90,m²,19.4400349,-99.0964851,https://www.inmuebles24.com/propiedades/-remate-de-departamento-56387716.html
56379393,5  Antigüedad,0,,90,m²,19.4450274,-99.2029831,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56379393.html
56376247,10  Antigüedad,0,,100,m²,19.3659355,-99.2331847,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56376247.html
56376200,10  Antigüedad,0,,180,m²,19.3900077,-99.1701577,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56376200.html
56368027,10  Antigüedad,0,,80,m²,19.4444227,-99.2127745,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56368027.html
56353474,10  Antigüedad,0,,90,m²,19.4356338,-99.1495107,https://www.inmuebles24.com/propiedades/-remate-de-bonito-departamento-56353474.html
