ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
60316845,20  Antigüedad,63,m²,164,m²,19.277636000000000,-99.205033399999990,https://www.inmuebles24.com/propiedades/casa-en-condominio-horizontal-tlalpan-60316845.html
60511213,30  Antigüedad,189,m²,170,m²,19.334404400000000,-99.123188300000000,https://www.inmuebles24.com/propiedades/se-vende-hermosa-casa-en-calle-cerrada-remodelada-y-60511213.html
59547356,2   Recámaras,179,m²,179,m²,19.442391300000000,-99.096379799999994,https://www.inmuebles24.com/propiedades/bonita-casa-en-romero-rubio-59547356.html
59213617,3   Medios Baños,3,m²,3,m²,19.418310800000000,-99.164471800000001,https://www.inmuebles24.com/propiedades/propiedad-de-prueba-59213617.html
60025089,1   Medio baño,180,m²,120,m²,19.435716688379503,-99.131784439086914,https://www.inmuebles24.com/propiedades/casa-lujosa-60025089.html
59138274,8  Antigüedad,30000,m²,300000,m²,19.407202000000001,-99.167871099999999,https://www.inmuebles24.com/propiedades/casa-de-prueba.-59138274.html
60387713,10  Antigüedad,500,m²,250,m²,19.361845599999998,-99.186225800000002,https://www.inmuebles24.com/propiedades/casa-en-cdmx-con-sup-de-500-m-sup2--en-posecion-60387713.html
59145026,3   Recámaras,0,,0,,19.411725362792935,-99.109308201280370,https://www.inmuebles24.com/propiedades/gran-oportunidad-de-inversion-59145026.html
