ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
52913725,new,12,m²,210,m²,19.3311554,-99.2569392,https://www.inmuebles24.com/propiedades/bosque-6060-52913725.html
54456938,new,75,m²,75,m²,19.4818461,-99.1298335,https://www.inmuebles24.com/propiedades/sky-tower-lindavista-54456938.html
55534814,new,335,m²,185,m²,19.2791314,-99.1405709,https://www.inmuebles24.com/propiedades/ultimo-departamento-departamento-en-venta-tlalpan-55534814.html
60679141,new,56,m²,48,m²,19.4018103,-99.1069921,https://www.inmuebles24.com/propiedades/chicle-160-60679141.html
56515561,new,55,m²,55,m²,19.3504177,-99.3006964,https://www.inmuebles24.com/propiedades/up-santa-fe-56515561.html
60859941,52  Antigüedad,123,m²,123,m²,19.3887633,-99.177895,https://www.inmuebles24.com/propiedades/departamento-en-pennsylvania-ciudad-de-mexico-60859941.html
60716573,25  Antigüedad,82,m²,82,m²,19.4017078,-99.1618103,https://www.inmuebles24.com/propiedades/departamento-en-tanana-ciudad-de-mexico-60716573.html
60378003,A estrenar,155,m²,155,m²,19.4298517,-99.1814908,https://www.inmuebles24.com/propiedades/venta-de-departamento-en-polanco-ciudad-de-mexico-60378003.html
55070344,A estrenar,290,m²,290,m²,19.4170432,-99.2724162,https://www.inmuebles24.com/propiedades/se-vende-departamento-en-lomas-ciudad-de-mexico-55070344.html
60006486,30  Antigüedad,103,m²,103,m²,19.39360285,-99.17007042,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-la-colonia-del-valle-ciudad-60006486.html
59640093,16  Antigüedad,328,m²,328,m²,19.3847298,-99.2604287,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-una-de-las-mejores-colonias-59640093.html
60806063,A estrenar,87,m²,0,,19.40042453,-99.16205945,https://www.inmuebles24.com/propiedades/departamentos-en-venta-en-calle-amores-ciudad-de-60806063.html
60805936,A estrenar,41,m²,0,,19.37005565,-99.13973096,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-benito-juarez-ciudad-de-60805936.html
60796327,3  Antigüedad,25,m²,83,m²,19.2860042,-99.147371,https://www.inmuebles24.com/propiedades/departamento-en-venta-guadalupe-tlalpan-ciudad-de-60796327.html
60722394,60  Antigüedad,136,m²,136,m²,19.4315581,-99.1899051,https://www.inmuebles24.com/propiedades/departamento-en-venta-masaryk-polanco-ciudad-de-60722394.html
59312087,A estrenar,63,m²,63,m²,19.28148661,-99.14245874,https://www.inmuebles24.com/propiedades/departamento-nuevo-en-venta-al-sur-en-la-ciudad-de-59312087.html
60163610,10  Antigüedad,192,m²,192,m²,19.433407,-99.2029756,https://www.inmuebles24.com/propiedades/vendo-departamento-colonia-polanco-ciudad-de-mexico-60163610.html
59867971,15  Antigüedad,101,m²,101,m²,19.4205242,-99.1626889,https://www.inmuebles24.com/propiedades/departamento-dinamico-en-colonia-roma-cuauhtemoc-de-59867971.html
60788204,15  Antigüedad,0,,92,m²,19.3951397,-99.1816773,https://www.inmuebles24.com/propiedades/departamento-en-venta-san-pedro-de-los-pinos-av-60788204.html
60626491,5  Antigüedad,55,m²,55,m²,19.45069553,-99.16333887,https://www.inmuebles24.com/propiedades/departamento-venta-ribera-santa-maria-cuauhtemoc-60626491.html
60745506,4  Antigüedad,901,m²,90,m²,19.443262,-99.2020314,https://www.inmuebles24.com/propiedades/departamentos-city-towers-polanco-df-ciudad-mexico-60745506.html
60668650,A estrenar,0,,80,m²,19.3807458,-99.1553016,https://www.inmuebles24.com/propiedades/departamento-nuevos-del.-benito-juarez-ciudad-de-60668650.html
60668564,A estrenar,0,,80,m²,19.3754117,-99.1442316,https://www.inmuebles24.com/propiedades/venta-departamento-nuevos-el.-benito-juarez-desarrollo-60668564.html
60569936,1  Antigüedad,57,m²,57,m²,19.31663115,-99.15692483,https://www.inmuebles24.com/propiedades/departamento-en-coyoacan-sur-de-la-ciudad-de-mexico-en-60569936.html
55739121,new,123,m²,70,m²,19.3529916,-99.2900402,https://www.inmuebles24.com/propiedades/senda-santa-fe-loft-de-1-recamara-15-min.-de-santa-fe-55739121.html
59885066,new,-,,65,m²,19.440669,-99.140124,https://www.inmuebles24.com/propiedades/torre-lazaro-59885066.html
59153607,10  Antigüedad,0,,72,m²,19.443262,-99.2020314,https://www.inmuebles24.com/propiedades/baja-de-precio-departamento-en-ampliacion-granada-59153607.html
60904815,5  Antigüedad,60,m²,60,m²,19.2693801,-99.1742219,https://www.inmuebles24.com/propiedades/lindo-departamento-en-venta-solo-infonavit-y-contado.-60904815.html
60970534,3  Antigüedad,121,m²,121,m²,19.361096,-99.163642,https://www.inmuebles24.com/propiedades/city-towers-5-60970534.html
60765357,5  Antigüedad,117,m²,117,m²,19.3594157,-99.289588,https://www.inmuebles24.com/propiedades/renta-departamento-be-grand-cuajimalpa-60765357.html
60508566,A estrenar,0,,40,m²,19.4373262,-99.1617888,https://www.inmuebles24.com/propiedades/col.-san-rafael-venta-departamentos-60508566.html
60186367,3  Antigüedad,0,,112,m²,19.3921274,-99.1792059,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-napoles-60186367.html
59637396,2  Antigüedad,102,m²,102,m²,19.4195256,-99.162549,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-la-roma-de-$-de-2r2b1e-59637396.html
59471767,A estrenar,73,m²,0,,19.3750772,-99.1899289,https://www.inmuebles24.com/propiedades/mixcoac-entrega-inmediata-excelentes-acabados-muy-59471767.html
60637797,4  Antigüedad,0,,350,m²,19.4279743,-99.1936966,https://www.inmuebles24.com/propiedades/venta-departamento-polanco-60637797.html
59255918,3  Antigüedad,76,m²,76,m²,19.4092984,-99.1878286,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-san-miguel-chapultepec-59255918.html
58504335,A estrenar,0,,214,m²,19.3488987,-99.261431,https://www.inmuebles24.com/propiedades/venta-de-departamento-de-lujo-en-basalto-cumbres-de-58504335.html
56500552,A estrenar,1,m²,250,m²,19.3658566,-99.1877756,https://www.inmuebles24.com/propiedades/estrene-la-mejor-calidad-al-mejor-precio!-56500552.html
55875960,A estrenar,65,m²,60,m²,19.4429712,-99.1428735,https://www.inmuebles24.com/propiedades/departamento-en-venta-a-una-cuadra-de-reforma-55875960.html
60364050,50  Antigüedad,0,,240,m²,19.4238842,-99.2252931,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-lomas-de-chapultepec-60364050.html
59040602,A estrenar,68,m²,68,m²,19.4062139,-99.1416265,https://www.inmuebles24.com/propiedades/deptos-en-venta-en-algarin-59040602.html
59062817,5  Antigüedad,252,m²,252,m²,19.3494322,-99.201497,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-blvd.-adolfo-lopez-mateos-59062817.html
59080396,A estrenar,121,m²,121,m²,19.3791808,-99.1359914,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-bertha-en-nativitas-59080396.html
60353492,6  Antigüedad,150,m²,150,m²,19.4345534,-99.1697322,https://www.inmuebles24.com/propiedades/villalongin-196-60353492.html
59080800,A estrenar,76,m²,76,m²,19.3791808,-99.1359914,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-bertha-en-nativitas-59080800.html
59080743,A estrenar,118,m²,118,m²,19.3791808,-99.1359914,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-bertha-en-nativitas-59080743.html
60302745,10  Antigüedad,0,,188,m²,19.4237486,-99.1711093,https://www.inmuebles24.com/propiedades/departamento-moderno-y-elegante-chic-en-paseo-de-la-60302745.html
59925747,A estrenar,53,m²,53,m²,19.3708652,-99.1542525,https://www.inmuebles24.com/propiedades/departamento-en-preventa-portales-norte-a-una-cuadra-59925747.html
59487236,A estrenar,180,m²,101,m²,19.3860862,-99.1607589,https://www.inmuebles24.com/propiedades/penthouse-con-terraza-privada-narvarte-descuentos-de-59487236.html
59382608,20  Antigüedad,138,m²,138,m²,19.4084799,-99.1759855,https://www.inmuebles24.com/propiedades/departamento-en-venta-a-unos-pasos-de-parque-espana-59382608.html
59484343,A estrenar,146,m²,73,m²,19.4315408,-99.1639198,https://www.inmuebles24.com/propiedades/departamento-en-venta-con-terraza-en-la-cuauhtemoc-a-59484343.html
58542486,A estrenar,111,m²,111,m²,19.3860862,-99.1607589,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-narvarte-poniente-58542486.html
56956994,A estrenar,74,m²,74,m²,19.3708676,-99.1542693,https://www.inmuebles24.com/propiedades/pre-venta-de-amplio-departamento-en-portales-norte-56956994.html
55656223,A estrenar,56,m²,54,m²,19.3306525,-99.1543813,https://www.inmuebles24.com/propiedades/departamentos-en-coyoacan-55656223.html
59461744,A estrenar,116,m²,116,m²,19.3597264,-99.2037415,https://www.inmuebles24.com/propiedades/las-aguilas-departamento-nuevo-en-venta-59461744.html
59786676,25  Antigüedad,110,m²,110,m²,19.3087408,-99.218739,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-unidad-habitacional-pemex-59786676.html
58721018,3  Antigüedad,4000,m²,192,m²,19.3337946,-99.2045297,https://www.inmuebles24.com/propiedades/departamento-en-venta-be-park-san-angel-3-recamaras-58721018.html
59743139,6  Antigüedad,0,,112,m²,19.3825328,-99.1584744,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-vertiz-narvarte-av-59743139.html
59713919,A estrenar,175,m²,103,m²,19.3860862,-99.1607589,https://www.inmuebles24.com/propiedades/penthouse-con-terraza-privada-narvarte-descuentos-de-59713919.html
57410138,A estrenar,72,m²,72,m²,19.3750743,-99.1891522,https://www.inmuebles24.com/propiedades/departamento-en-venta-mixcoac-57410138.html
59487111,A estrenar,93,m²,87,m²,19.3860862,-99.1607589,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-narvarte-59487111.html
59480387,13  Antigüedad,110,m²,110,m²,19.4219483,-99.1689141,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-col.-roma-norte-59480387.html
56957418,A estrenar,73,m²,73,m²,19.3708676,-99.1542693,https://www.inmuebles24.com/propiedades/pre-venta-de-amplio-departamento-con-balcon-en-56957418.html
57348856,A estrenar,64,m²,64,m²,19.4002411,-99.1781044,https://www.inmuebles24.com/propiedades/pre-venta-departamento-en-escandon-57348856.html
56754657,A estrenar,51,m²,51,m²,19.3708652,-99.1542525,https://www.inmuebles24.com/propiedades/pre-venta-departamento-a-una-cuadra-del-parque-de-los-56754657.html
58943860,11  Antigüedad,145,m²,145,m²,19.3902977,-99.1762566,https://www.inmuebles24.com/propiedades/departamento-tipo-town-house-en-2-niveles-58943860.html
59212092,A estrenar,170,m²,143,m²,19.3940734,-99.1539178,https://www.inmuebles24.com/propiedades/estrena-uno-de-7-departamentos-exclusivos-de-lujo-en-59212092.html
58864712,A estrenar,136,m²,86,m²,19.4321207,-99.1606511,https://www.inmuebles24.com/propiedades/:oportunidad:-venta-a-cuadras-de-reforma-en-la-colonia-58864712.html
60597162,9  Antigüedad,79,m²,79,m²,19.380678,-99.1898836,https://www.inmuebles24.com/propiedades/departamento-de-2-recamaras-con-terraza-en-colonia-60597162.html
