Nombre de Publicación,Estado,Ciudad,Colonia,Avenida,Tipo de propiedad,Tipo de Operación,Condición del Inmueble,Precio,Precio por m2,Moneda,Número de recámaras,Número de baños completos,Número de m2,Unidad de medida,Link de la publicación,Foto de publicación,Real State Agency?,Latitud,Longitud,ID
 Departamento En Venta En Colonia Del Valle Norte Dtrlv78 ,Distrito Federal,Benito Juárez,,,Departamento,Venta,Nuevo,3600000,28125.0,MXN,3,3,128.0,m²,https://departamento.mercadolibre.com.mx/MLM-827926327-departamento-en-venta-en-colonia-del-valle-norte-dtrlv78-_JM,http://http2.mlstatic.com/D_603957-MLM43747179192_102020-I.jpg,True,19.379406,-99.15914,MLM827926327
#14  Departamento En Del Valle Norte  Remate Bancario,Distrito Federal,Benito Juárez,Colonia Del Valle,"Mier y Pesado , Col. Del Valle Norte, Alcaldía Benito Juárez,",Departamento,Venta,Usado,3600000,28125.0,MXN,3,2,128.0,m²,https://departamento.mercadolibre.com.mx/MLM-892643716-14-departamento-en-del-valle-norte-remate-bancario-_JM,http://http2.mlstatic.com/D_786095-MLM45244412188_032021-I.jpg,True,19.396753,-99.16477,MLM892643716
"Dpto Recreo 60 Pent House, Del Valle Cdmx Remate Hip Sg W",Distrito Federal,Benito Juárez,Colonia Del Valle,Recreo 60,Departamento,Venta,not specified,5500100,28061.73469387755,MXN,3,2,196.0,m²,https://departamento.mercadolibre.com.mx/MLM-796402043-dpto-recreo-60-pent-house-del-valle-cdmx-remate-hip-sg-w-_JM,http://mlm-s2-p.mlstatic.com/675017-MLM42781953727_072020-I.jpg,True,19.370186,-99.178406,MLM796402043
Departamento En Venta Del Valle Acacias,Distrito Federal,Benito Juárez,Colonia Del Valle,Amores 1833,Departamento,Venta,Usado,7200000,27692.30769230769,MXN,3,2,260.0,m²,https://departamento.mercadolibre.com.mx/MLM-861819817-departamento-en-venta-del-valle-acacias-_JM,http://http2.mlstatic.com/D_656099-MLM42563247136_072020-I.jpg,True,19.363623,-99.17152,MLM861819817
Viva Como En Casa Seguridad 8 Deptos 4 Estacionamientos,Distrito Federal,Benito Juárez,Colonia Del Valle,PESTALOZZI 931,Departamento,Venta,Usado,13000000,27659.574468085106,MXN,2,3,470.0,m²,https://departamento.mercadolibre.com.mx/MLM-879585655-viva-como-en-casa-seguridad-8-deptos-4-estacionamientos-_JM,http://http2.mlstatic.com/D_712439-MLM45003126664_022021-I.jpg,True,19.384592,-99.16028,MLM879585655
Excelente Pent-house De 2 Niveles Col. Del Valle Centro,Distrito Federal,Benito Juárez,Colonia Del Valle,Roberto Gayol 1309,Departamento,Venta,Usado,7200000,27376.42585551331,MXN,3,3,263.0,m²,https://departamento.mercadolibre.com.mx/MLM-859675607-excelente-pent-house-de-2-niveles-col-del-valle-centro-_JM,http://http2.mlstatic.com/D_601131-MLM44515688561_012021-I.jpg,True,19.376062,-99.17102,MLM859675607
"Vmv Depto En Col. Del Valle, Benito Juarez, 3h,2b,2e, 110m2",Distrito Federal,Benito Juárez,Colonia Del Valle,MORENA 317,Departamento,Venta,Usado,3007416,27340.145454545454,MXN,3,2,110.0,m²,https://departamento.mercadolibre.com.mx/MLM-887118132-vmv-depto-en-col-del-valle-benito-juarez-3h2b2e-110m2-_JM,http://http2.mlstatic.com/D_758412-MLM45131951456_032021-I.jpg,True,19.399017,-99.163376,MLM887118132
Departamento En Venta Para Actualizar En La Colonia Del Vall,Distrito Federal,Benito Juárez,Del Valle Norte,Amores,Departamento,Venta,Usado,3250000,27083.333333333332,MXN,3,2,120.0,m²,https://departamento.mercadolibre.com.mx/MLM-858020220-departamento-en-venta-para-actualizar-en-la-colonia-del-vall-_JM,http://http2.mlstatic.com/D_853220-MLM44486014261_012021-I.jpg,True,19.382912,-99.16664,MLM858020220
"Venta De Casa En Col. Del Valle Sur, Benito Juárez",Distrito Federal,Benito Juárez,Colonia Del Valle,Martín Mendalde,Casa,Venta,Usado,7500000,26785.714285714286,MXN,5,2,280.0,m²,https://casa.mercadolibre.com.mx/MLM-892643787-venta-de-casa-en-col-del-valle-sur-benito-juarez-_JM,http://http2.mlstatic.com/D_813876-MLM45244414336_032021-I.jpg,True,19.382233,-99.16766,MLM892643787
Casa Martin Mendealde Del Valle Remate Hipotec Sg W,Distrito Federal,Benito Juárez,Colonia Del Valle,Martin Mendalde 0,Casa,Venta,not specified,7500100,26316.140350877195,MXN,4,3,285.0,m²,https://casa.mercadolibre.com.mx/MLM-750992704-casa-martin-mendealde-del-valle-remate-hipotec-sg-w-_JM,http://http2.mlstatic.com/D_974857-MLM40420737100_012020-I.jpg,True,19.371744,-99.170166,MLM750992704
"Vmv Depto En Del Valle Centro, Benito Juarez, 2h,b,e, 70m2",Distrito Federal,Benito Juárez,Colonia Del Valle,LUZ SAVIÑON 508,Departamento,Venta,Usado,1837086,26244.085714285713,MXN,2,1,70.0,m²,https://departamento.mercadolibre.com.mx/MLM-883376595-vmv-depto-en-del-valle-centro-benito-juarez-2hbe-70m2-_JM,http://mlm-s2-p.mlstatic.com/749744-MLM45064269277_032021-I.jpg,True,19.393164,-99.16805,MLM883376595
Urgente! Remato Hermoso Depto Ph En Col Del Valle Dh,Distrito Federal,Benito Juárez,Colonia Del Valle,RECREO  60,Departamento,Venta,Usado,3805000,26241.379310344826,MXN,3,3,145.0,m²,https://departamento.mercadolibre.com.mx/MLM-879659052-urgente-remato-hermoso-depto-ph-en-col-del-valle-dh-_JM,http://http2.mlstatic.com/D_923514-MLM45004487083_022021-I.jpg,True,19.370186,-99.178406,MLM879659052
"Venta Departamento Colonia Del Valle ,patricio Saenz",Distrito Federal,Benito Juárez,Colonia Del Valle,PATRICIO SAENZ 1256-6,Departamento,Venta,Usado,4950000,26190.47619047619,MXN,3,3,189.0,m²,https://departamento.mercadolibre.com.mx/MLM-793849652-venta-departamento-colonia-del-valle-patricio-saenz-_JM,http://mlm-s1-p.mlstatic.com/705911-MLM42655083188_072020-I.jpg,True,19.379766,-99.17307,MLM793849652
Departamento En Venta Del Valle Piedad Narvarte,Distrito Federal,Benito Juárez,Colonia Narvarte Oriente,Torreón 73,Departamento,Venta,Usado,3250000,25590.55118110236,MXN,3,2,127.0,m²,https://departamento.mercadolibre.com.mx/MLM-883195886-departamento-en-venta-del-valle-piedad-narvarte-_JM,http://mlm-s1-p.mlstatic.com/801189-MLM45058553452_032021-I.jpg,True,19.402018,-99.16134,MLM883195886
Espacioso Departamento En El Corazon De La Colonia Del Valle,Distrito Federal,Benito Juárez,Del Valle Centro,Angel Urraza,Departamento,Venta,Usado,6950000,25457.87545787546,MXN,3,2,273.0,m²,https://departamento.mercadolibre.com.mx/MLM-880298504-espacioso-departamento-en-el-corazon-de-la-colonia-del-valle-_JM,http://http2.mlstatic.com/D_824257-MLM45016402706_022021-I.jpg,True,19.38346,-99.169136,MLM880298504
Venta Espectacular Departamento En La Colonia Del Valle,Distrito Federal,Benito Juárez,Colonia Del Valle,Ángel Urraza,Departamento,Venta,Usado,6950000,25457.87545787546,MXN,3,2,273.0,m²,https://departamento.mercadolibre.com.mx/MLM-811875399-venta-espectacular-departamento-en-la-colonia-del-valle-_JM,http://mlm-s2-p.mlstatic.com/640143-MLM43333974234_092020-I.jpg,True,19.38346,-99.169136,MLM811875399
Departamento De Remate En Av Magdalena Colonia Del Valle Norte,Distrito Federal,Benito Juárez,,,Departamento,Venta,Nuevo,2800000,25454.545454545456,MXN,3,2,110.0,m²,https://departamento.mercadolibre.com.mx/MLM-840580241-departamento-de-remate-en-av-magdalena-colonia-del-valle-norte-_JM,http://http2.mlstatic.com/D_781848-MLM44104879553_112020-I.jpg,True,19.379406,-99.15914,MLM840580241
