Nombre de Publicación,Estado,Ciudad,Colonia,Avenida,Tipo de propiedad,Tipo de Operación,Condición del Inmueble,Precio,Precio por m2,Moneda,Número de recámaras,Número de baños completos,Número de m2,Unidad de medida,Link de la publicación,Foto de publicación,Real State Agency?,Latitud,Longitud,ID,updated_at
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Lomas de Chapultepec I Sección,Paseo de las Palmas,Casa,Venta,not specified,69500000,87421.38365,MXN,3,4,795,m²,https://casa.mercadolibre.com.mx/MLM-786181310-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_796522-MLM42242895820_062020-I.jpg,TRUE,19.411036,-99.22981,MLM786181310,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Lomas De Reforma,Alcázar de Toledo,Casa,Venta,not specified,24900000,31360.20151,MXN,4,3,794,m²,https://casa.mercadolibre.com.mx/MLM-807670614-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_862994-MLM43228401373_082020-I.jpg,TRUE,19.402567,-99.23447,MLM807670614,04/12/2021
"Casa En Venta, Álvaro Obregón, Ciudad De México",Distrito Federal,Alvaro Obregón,Lomas Axomiatla,Calzada de las Aguilas,Casa,Venta,not specified,23500000,30244.53024,MXN,3,3,777,m²,https://casa.mercadolibre.com.mx/MLM-853397528-casa-en-venta-alvaro-obregon-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_831549-MLM44402243585_122020-I.jpg,TRUE,19.341574,-99.25253,MLM853397528,04/12/2021
"Departamento En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Real De Las Lomas,Paseo de la Reforma,Departamento,Venta,not specified,44297547,58057.07339,MXN,4,4,763,m²,https://departamento.mercadolibre.com.mx/MLM-896404186-departamento-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_644336-MLM45319532143_032021-I.jpg,TRUE,19.397224,-99.23671,MLM896404186,04/12/2021
"Residencia Para Reformar, En Una De Las Colonias Con Mayor Plusvalía De La Ciudad De México",Distrito Federal,Tlalpan,Jardines En La Montaña,Pico de Verapaz,Casa,Venta,Usado,18950000,25266.66667,MXN,6,5,750,m²,https://casa.mercadolibre.com.mx/MLM-841706122-residencia-para-reformar-en-una-de-las-colonias-con-mayor-plusvalia-de-la-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_774007-MLM44127728932_112020-I.jpg,TRUE,19.300726,-99.19938,MLM841706122,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Bosque de Amates,Casa,Venta,not specified,35000000,46666.66667,MXN,3,3,750,m²,https://casa.mercadolibre.com.mx/MLM-758160424-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_808362-MLM40817319180_022020-I.jpg,TRUE,19.394712,-99.247215,MLM758160424,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,Bosque de Olmos,Casa,Venta,not specified,33000000,44594.59459,MXN,3,5,740,m²,https://casa.mercadolibre.com.mx/MLM-886549665-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_997431-MLM45118561444_032021-I.jpg,TRUE,19.403582,-99.249084,MLM886549665,04/12/2021
"Casa En Venta, Tlalpan, Ciudad De México",Distrito Federal,Tlalpan,Club de Golf México,San Buena Aventura,Casa,Venta,not specified,22999000,31635.48831,MXN,4,6,727,m²,https://casa.mercadolibre.com.mx/MLM-758094147-casa-en-venta-tlalpan-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_637554-MLM40814530642_022020-I.jpg,TRUE,19.282906,-99.16049,MLM758094147,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,Bosque de Amates,Casa,Venta,not specified,34900000,49154.92958,MXN,4,4,710,m²,https://casa.mercadolibre.com.mx/MLM-807678003-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_773130-MLM43228957850_082020-I.jpg,TRUE,19.394712,-99.247215,MLM807678003,04/12/2021
"Departamento En Venta, Benito Juárez, Ciudad De México",Distrito Federal,Benito Juárez,Ciudad De Los Deportes,Ilinois,Departamento,Venta,not specified,21800000,30747.53173,MXN,3,1,709,m²,https://departamento.mercadolibre.com.mx/MLM-843857897-departamento-en-venta-benito-juarez-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/746157-MLM44180900765_112020-I.jpg,TRUE,19.385406,-99.17914,MLM843857897,04/12/2021
Magnifico Departamento De 2 Niveles En La Mejor Zona Sur De La Ciudad De Mèxico.,Distrito Federal,Coyoacán,Tlalpan,Magnifico Departamento de 2 Niveles en la Mejor Zona sur de la Ciudad de Mèxico,Departamento,Venta,Nuevo,29870000,42610.55635,MXN,3,5,701,m²,https://departamento.mercadolibre.com.mx/MLM-885086533-magnifico-departamento-de-2-niveles-en-la-mejor-zona-sur-de-la-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/765925-MLM45091764448_032021-I.jpg,TRUE,19.287037,-99.15554,MLM885086533,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Bosques de Helechos,Casa,Venta,not specified,21000000,30215.82734,MXN,4,4,695,m²,https://casa.mercadolibre.com.mx/MLM-835966587-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/891053-MLM44985589880_022021-I.jpg,TRUE,19.389652,-99.2546,MLM835966587,04/12/2021
"Casa En Venta, Álvaro Obregón, Ciudad De México",Distrito Federal,Alvaro Obregón,Jardines Del Pedregal,Cerrada de terremoto,Casa,Venta,not specified,23000000,33724.34018,MXN,3,3,682,m²,https://casa.mercadolibre.com.mx/MLM-839629313-casa-en-venta-alvaro-obregon-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_657487-MLM44079612167_112020-I.jpg,TRUE,19.318129,-99.22087,MLM839629313,04/12/2021
Casa En Venta Bosque De Jazmines Bosque De Las Lomas Miguel Hidalgo Cdmx Ciudad De Mexico,Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,BOSQUE DE JAZMINES 151,Casa,Venta,not specified,19750000,29215.97633,MXN,3,3,676,m²,https://casa.mercadolibre.com.mx/MLM-902640938-casa-en-venta-bosque-de-jazmines-bosque-de-las-lomas-miguel-hidalgo-cdmx-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_898282-MLM45475107946_042021-I.jpg,TRUE,19.409359,-99.2432,MLM902640938,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Daniel Garza,8 de septiembre,Casa,Venta,not specified,8000000,11994.003,MXN,7,5,667,m²,https://casa.mercadolibre.com.mx/MLM-865367937-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_790948-MLM44651827664_012021-I.jpg,TRUE,19.405928,-99.19926,MLM865367937,04/12/2021
"Departamento En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Lomas de Chapultepec I Sección,Av Paseo de la Reforma,Departamento,Venta,not specified,22000000,33182.50377,MXN,3,3,663,m²,https://departamento.mercadolibre.com.mx/MLM-828721551-departamento-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_724908-MLM43763897437_102020-I.jpg,TRUE,19.40915,-99.22296,MLM828721551,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Lomas De Vista Hermosa,Lomas de las Flores,Casa,Venta,not specified,17000000,26073.61963,MXN,5,4,652,m²,https://casa.mercadolibre.com.mx/MLM-874113126-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_835047-MLM44856825213_022021-I.jpg,TRUE,19.37906,-99.2739,MLM874113126,04/12/2021
"Departamento En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,San Mateo Tlaltenango,Privada de Tembleque,Departamento,Venta,not specified,70473370,110114.6406,MXN,3,4,640,m²,https://departamento.mercadolibre.com.mx/MLM-792999840-departamento-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/754987-MLM42590952074_072020-I.jpg,TRUE,19.350924,-99.27818,MLM792999840,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,Bosques,Casa,Venta,not specified,25000000,39246.46782,MXN,3,6,637,m²,https://casa.mercadolibre.com.mx/MLM-881236350-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_942596-MLM45027921999_022021-I.jpg,TRUE,19.390417,-99.255,MLM881236350,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Lomas De Vista Hermosa,Fresnos,Casa,Venta,not specified,12000000,19200,MXN,3,3,625,m²,https://casa.mercadolibre.com.mx/MLM-794650567-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/929086-MLM42699259835_072020-I.jpg,TRUE,19.347404,-99.27453,MLM794650567,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Lomas de Chapultepec I Sección,Sierra Fria,Casa,Venta,not specified,28500000,45673.07692,MXN,5,5,624,m²,https://casa.mercadolibre.com.mx/MLM-807688261-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_842833-MLM45315680000_032021-I.jpg,TRUE,19.412046,-99.22783,MLM807688261,04/12/2021
"Departamento En Venta, Álvaro Obregón, Ciudad De México",Distrito Federal,Alvaro Obregón,Lomas De Santa Fe,Segunda cerrada de Vasco de Quiroga,Departamento,Venta,not specified,36800000,59354.83871,MXN,3,3,620,m²,https://departamento.mercadolibre.com.mx/MLM-758135161-departamento-en-venta-alvaro-obregon-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/643749-MLM40815795902_022020-I.jpg,TRUE,19.386513,-99.2403,MLM758135161,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Paseo de Primaveras,Casa,Venta,not specified,34200000,55161.29032,MXN,3,3,620,m²,https://casa.mercadolibre.com.mx/MLM-794648723-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_605112-MLM42699327717_072020-I.jpg,TRUE,19.386076,-99.27254,MLM794648723,04/12/2021
"Casa En Venta, Tlalpan, Ciudad De México",Distrito Federal,Tlalpan,San Pedro Mártir,Cerrada Diligencias,Casa,Venta,not specified,9950000,16583.33333,MXN,3,3,600,m²,https://casa.mercadolibre.com.mx/MLM-876382003-casa-en-venta-tlalpan-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_652167-MLM44938251852_022021-I.jpg,TRUE,19.263582,-99.171265,MLM876382003,04/12/2021
"Casa En Venta, Álvaro Obregón, Ciudad De México",Distrito Federal,Alvaro Obregón,Lomas De Santa Fe,Acueducto,Casa,Venta,not specified,20790000,34650,MXN,4,3,600,m²,https://casa.mercadolibre.com.mx/MLM-758092219-casa-en-venta-alvaro-obregon-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_819616-MLM40814572285_022020-I.jpg,TRUE,19.386446,-99.2421,MLM758092219,04/12/2021
"Departamento En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Prolongacion Bosques de la Reforma,Departamento,Venta,not specified,36243447,60405.745,MXN,4,4,600,m²,https://departamento.mercadolibre.com.mx/MLM-794654424-departamento-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_906893-MLM42699225358_072020-I.jpg,TRUE,19.389505,-99.26144,MLM794654424,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Lomas de Chapultepec I Sección,Sierra Amatepec,Casa,Venta,not specified,33000000,55000,MXN,4,3,600,m²,https://casa.mercadolibre.com.mx/MLM-784572933-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/793247-MLM42175643606_062020-I.jpg,TRUE,19.41772,-99.23106,MLM784572933,04/12/2021
"Casa En Venta, La Magdalena Contreras, Ciudad De México",Distrito Federal,La Magdalena Contreras,Lomas Quebradas,PINO,Casa,Venta,not specified,14990000,25667.80822,MXN,4,4,584,m²,https://casa.mercadolibre.com.mx/MLM-886554910-casa-en-venta-la-magdalena-contreras-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_715898-MLM45118906401_032021-I.jpg,TRUE,19.31651,-99.23703,MLM886554910,04/12/2021
"Casa En Condominio En Venta, La Magdalena Contreras, Ciudad De México",Distrito Federal,La Magdalena Contreras,San Jerónimo Lídice,Cda Presa Escolta,Casa,Venta,not specified,18950000,32672.41379,MXN,3,4,580,m²,https://casa.mercadolibre.com.mx/MLM-784564134-casa-en-condominio-en-venta-la-magdalena-contreras-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_800004-MLM43145230930_082020-I.jpg,TRUE,19.328968,-99.22342,MLM784564134,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,Bosque de Sauces,Casa,Venta,not specified,18000000,31034.48276,MXN,4,3,580,m²,https://casa.mercadolibre.com.mx/MLM-784558628-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_886866-MLM42175507962_062020-I.jpg,TRUE,19.404123,-99.246025,MLM784558628,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,Bosque de Guanacaste,Casa,Venta,not specified,20000000,34482.75862,MXN,3,3,580,m²,https://casa.mercadolibre.com.mx/MLM-794650457-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/789902-MLM42699598673_072020-I.jpg,TRUE,19.397604,-99.25429,MLM794650457,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Bosque de Zapotes,Casa,Venta,not specified,24900000,43079.58478,MXN,3,3,578,m²,https://casa.mercadolibre.com.mx/MLM-758142940-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/904551-MLM40816584894_022020-I.jpg,TRUE,19.399187,-99.24678,MLM758142940,04/12/2021
"Departamento En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Lomas De Vista Hermosa,Camino al Olivo,Departamento,Venta,not specified,31668000,54979.16667,MXN,4,4,576,m²,https://departamento.mercadolibre.com.mx/MLM-794650347-departamento-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/788308-MLM42699170169_072020-I.jpg,TRUE,19.375319,-99.27689,MLM794650347,04/12/2021
"Casa En Venta, La Magdalena Contreras, Ciudad De México",Distrito Federal,La Magdalena Contreras,San Jerónimo Lídice,Nube,Casa,Venta,not specified,18000000,31578.94737,MXN,3,3,570,m²,https://casa.mercadolibre.com.mx/MLM-758138935-casa-en-venta-la-magdalena-contreras-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_726593-MLM40815776538_022020-I.jpg,TRUE,19.312044,-99.24293,MLM758138935,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Cuajimalpa,2DA CERRADA DE ADOLFO LOPEZ MATEOS 17,Casa,Venta,not specified,11000000,19298.24561,MXN,3,2,570,m²,https://casa.mercadolibre.com.mx/MLM-886551990-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_640472-MLM45118914004_032021-I.jpg,TRUE,19.362812,-99.294395,MLM886551990,04/12/2021
"Casa En Venta, Álvaro Obregón, Ciudad De México",Distrito Federal,Alvaro Obregón,Atlamaya,Cerrada Rio San Angel,Casa,Venta,not specified,27500000,48500.88183,MXN,3,3,567,m²,https://casa.mercadolibre.com.mx/MLM-809882859-casa-en-venta-alvaro-obregon-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_880238-MLM43296138032_082020-I.jpg,TRUE,19.351517,-99.18831,MLM809882859,04/12/2021
Casas En Condominio En Jardines Pedregal En Ciudad De México,Distrito Federal,Alvaro Obregón,Jardines Del Pedregal,,Casa,Venta,Nuevo,27000000,47703.18021,MXN,3,3,566,m²,https://casa.mercadolibre.com.mx/MLM-862900991-casas-en-condominio-en-jardines-pedregal-en-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_673901-MLM44586899794_012021-I.jpg,TRUE,19.320602,-99.20999,MLM862900991,04/12/2021
Casas En Condominio En Jardines Pedregal En Ciudad De México,Distrito Federal,Alvaro Obregón,Jardines Del Pedregal,lluvia 34,Casa,Venta,Usado,27000000,47703.18021,MXN,3,3,566,m²,https://casa.mercadolibre.com.mx/MLM-806914094-casas-en-condominio-en-jardines-pedregal-en-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_851942-MLM43207057924_082020-I.jpg,TRUE,19.318594,-99.20811,MLM806914094,04/12/2021
"Departamento En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Ampliación Torre Blanca,Ruben Dario,Departamento,Venta,not specified,98662718,175556.4377,MXN,3,3,562,m²,https://departamento.mercadolibre.com.mx/MLM-758106282-departamento-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/806206-MLM40815009818_022020-I.jpg,TRUE,19.4282,-99.186264,MLM758106282,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Lomas De Reforma,Monte Pichincha,Casa,Venta,not specified,41000000,73214.28571,MXN,4,4,560,m²,https://casa.mercadolibre.com.mx/MLM-762573695-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/719334-MLM41076847380_032020-I.jpg,TRUE,19.397842,-99.23738,MLM762573695,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Bosque de Enebros,Casa,Venta,not specified,21000000,37500,MXN,3,5,560,m²,https://casa.mercadolibre.com.mx/MLM-794650344-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/725570-MLM42699352946_072020-I.jpg,TRUE,19.391726,-99.25689,MLM794650344,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Bosque De Las Lomas,Bosque de Granados,Casa,Venta,not specified,29000000,52727.27273,MXN,5,5,550,m²,https://casa.mercadolibre.com.mx/MLM-758150021-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_989710-MLM40816606004_022020-I.jpg,TRUE,19.405931,-99.25078,MLM758150021,04/12/2021
"Casa En Venta, Azcapotzalco, Ciudad De México",Distrito Federal,Azcapotzalco,Santiago Ahuizotla,Rosas Moreno,Casa,Venta,not specified,6800000,12363.63636,MXN,2,4,550,m²,https://casa.mercadolibre.com.mx/MLM-830821096-casa-en-venta-azcapotzalco-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/829453-MLM43823499542_102020-I.jpg,TRUE,19.479465,-99.21191,MLM830821096,04/12/2021
"Departamento En Venta, Álvaro Obregón, Ciudad De México",Distrito Federal,Alvaro Obregón,Lomas De Santa Fe,Club de golf bosques de Santa Fe,Departamento,Venta,not specified,59398983,108194.8689,MXN,3,4,549,m²,https://departamento.mercadolibre.com.mx/MLM-884056196-departamento-en-venta-alvaro-obregon-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_921170-MLM45074265633_032021-I.jpg,TRUE,19.38767,-99.25099,MLM884056196,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Ampliación Torre Blanca,Calderon de la Barca,Casa,Venta,not specified,78000000,142857.1429,MXN,6,3,546,m²,https://casa.mercadolibre.com.mx/MLM-794650519-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_696937-MLM42699275213_072020-I.jpg,TRUE,19.433735,-99.19902,MLM794650519,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Paseo de los Laureles,Casa,Venta,not specified,24000000,44444.44444,MXN,3,5,540,m²,https://casa.mercadolibre.com.mx/MLM-831246467-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/947850-MLM43978569315_112020-I.jpg,TRUE,19.386547,-99.2575,MLM831246467,04/12/2021
"Casa En Venta, Álvaro Obregón, Ciudad De México",Distrito Federal,Alvaro Obregón,San Angel Inn,Begonias,Casa,Venta,not specified,27800000,52157.5985,MXN,4,4,533,m²,https://casa.mercadolibre.com.mx/MLM-807679178-casa-en-venta-alvaro-obregon-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/655554-MLM43228951541_082020-I.jpg,TRUE,19.35139,-99.19997,MLM807679178,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Conjunto Primaveras,Casa,Venta,not specified,34800000,65413.53383,MXN,3,4,532,m²,https://casa.mercadolibre.com.mx/MLM-838172978-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/999300-MLM44051387221_112020-I.jpg,TRUE,19.386076,-99.27254,MLM838172978,04/12/2021
"Casa En Venta, Benito Juárez, Ciudad De México",Distrito Federal,Benito Juárez,San Juan,Poussin,Casa,Venta,not specified,17900000,34757.28155,MXN,6,4,515,m²,https://casa.mercadolibre.com.mx/MLM-897422784-casa-en-venta-benito-juarez-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_759027-MLM45346055429_032021-I.jpg,TRUE,19.376781,-99.18521,MLM897422784,04/12/2021
"Casa En Venta, Benito Juárez, Ciudad De México",Distrito Federal,Benito Juárez,San Juan,Poussin,Casa,Venta,not specified,18000000,34951.45631,MXN,6,4,515,m²,https://casa.mercadolibre.com.mx/MLM-794650390-casa-en-venta-benito-juarez-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/821804-MLM42699087478_072020-I.jpg,TRUE,19.376432,-99.18532,MLM794650390,04/12/2021
"Departamento En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Club De Golf Bosques,Prolongación Bosques de Reforma,Departamento,Venta,not specified,84885174,166768.5147,MXN,3,3,509,m²,https://departamento.mercadolibre.com.mx/MLM-758094174-departamento-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/872998-MLM40814606665_022020-I.jpg,TRUE,19.38767,-99.25099,MLM758094174,04/12/2021
Exclusivo Departamento En Venta En La Mejor Zona Del Sur Ciudad De México,Distrito Federal,Coyoacán,Tlalpan,Exclusivo Departamento en Venta en la Mejor Zona del sur  Ciudad de México,Departamento,Venta,Nuevo,19673000,38726.37795,MXN,3,3,508,m²,https://departamento.mercadolibre.com.mx/MLM-885090258-exclusivo-departamento-en-venta-en-la-mejor-zona-del-sur-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/944111-MLM45091767959_032021-I.jpg,TRUE,19.299765,-99.10378,MLM885090258,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Bosques de las Lomas,Bosque de Clavellinas,Casa,Venta,not specified,19200000,37944.66403,MXN,3,3,506,m²,https://casa.mercadolibre.com.mx/MLM-794648772-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s1-p.mlstatic.com/645231-MLM42699465378_072020-I.jpg,TRUE,19.390638,-99.25858,MLM794648772,04/12/2021
"Casa En Condominio En Venta, Tlalpan, Ciudad De México",Distrito Federal,Tlalpan,Peña Pobre,Camino a Santa Teresa,Casa,Venta,not specified,23800000,47222.22222,MXN,3,3,504,m²,https://casa.mercadolibre.com.mx/MLM-713385126-casa-en-condominio-en-venta-tlalpan-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_718101-MLM32027696426_082019-I.jpg,TRUE,19.296087,-99.18879,MLM713385126,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Contadero,Arteaga y Salazar,Casa,Venta,not specified,15440000,30695.82505,MXN,3,3,503,m²,https://casa.mercadolibre.com.mx/MLM-794650574-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,,TRUE,19.347155,-99.29337,MLM794650574,04/12/2021
"Casa En Venta, Cuajimalpa De Morelos, Ciudad De México",Distrito Federal,Cuajimalpa De Morelos,Lomas De Vista Hermosa,Lomas de Vista Hermosa,Casa,Venta,not specified,15500000,31000,MXN,3,3,500,m²,https://casa.mercadolibre.com.mx/MLM-794650493-casa-en-venta-cuajimalpa-de-morelos-ciudad-de-mexico-_JM,http://mlm-s2-p.mlstatic.com/696119-MLM42699203439_072020-I.jpg,TRUE,19.377213,-99.269615,MLM794650493,04/12/2021
"Casa En Venta, Miguel Hidalgo, Ciudad De México",Distrito Federal,Miguel Hidalgo,Ampliación Torre Blanca,Calderon de la Barca,Casa,Venta,not specified,52900000,105800,MXN,5,4,500,m²,https://casa.mercadolibre.com.mx/MLM-897432285-casa-en-venta-miguel-hidalgo-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_857298-MLM45346180434_032021-I.jpg,TRUE,19.433735,-99.19902,MLM897432285,04/12/2021
Remato Casa De 2 Pisos 3 Calles De La Plaza De Toros Mexico,Distrito Federal,Benito Juárez,Ciudad De Los Deportes,JORDAENS 33,Casa,Venta,Usado,1070895,2141.79,MXN,5,4,500,m²,https://casa.mercadolibre.com.mx/MLM-845856965-remato-casa-de-2-pisos-3-calles-de-la-plaza-de-toros-mexico-_JM,http://mlm-s2-p.mlstatic.com/946584-MLM44221915087_122020-I.jpg,TRUE,19.381775,-99.18311,MLM845856965,04/12/2021
"Casa En Venta, Tlalpan, Ciudad De México",Distrito Federal,Tlalpan,Miguel Hidalgo,Jesus Lecuona,Casa,Venta,not specified,6500000,13000,MXN,4,3,500,m²,https://casa.mercadolibre.com.mx/MLM-890434975-casa-en-venta-tlalpan-ciudad-de-mexico-_JM,http://http2.mlstatic.com/D_950554-MLM45196508209_032021-I.jpg,TRUE,19.283451,-99.20296,MLM890434975,04/12/2021
