Nombre de Publicación,Tipo de Inmueble,Estado,Ciudad,Colonia,Latitud,Longitud,Número de m2,Unidad de medida,Precio,Moneda,Link de la publicación
Roma Sur Se Vende Hermoso Departamento,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.40302,-99.1687,101,m²,"5,850,000",MXN,https://departamento.mercadolibre.com.mx/MLM-794979476-roma-sur-se-vende-hermoso-departamento-_JM
A Excelente Departamento Nuevo En Venta En Medellin 108 Colonia Roma DelegaciÃ³n CuauhtÃ©moc - Aldfcursme108402,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,95,m²,"5,600,000",MXN,https://departamento.mercadolibre.com.mx/MLM-736565687-a-excelente-departamento-nuevo-en-venta-en-medellin-108-colonia-roma-delegacion-cuauhtemoc-aldfcursme108402-_JM
Departamentos Preventa En La Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,76,m²,"6,979,000",MXN,https://departamento.mercadolibre.com.mx/MLM-820022717-departamentos-preventa-en-la-roma-_JM
Departamento En Venta,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.403286,-99.161476,60,m²,"2,600,000",MXN,https://departamento.mercadolibre.com.mx/MLM-793844782-departamento-en-venta-_JM
"Roma Sur, Fabuloso Ph En Venta",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,218,m²,"9,995,000",MXN,https://departamento.mercadolibre.com.mx/MLM-783521168-roma-sur-fabuloso-ph-en-venta-_JM
Departamento En Venta Colonia Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Norte,19.416903,-99.160835,127,m²,"4,600,000",MXN,https://departamento.mercadolibre.com.mx/MLM-830073938-departamento-en-venta-colonia-roma-_JM
"Departamento En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,131,m²,"7,679,900",MXN,https://departamento.mercadolibre.com.mx/MLM-805224949-departamento-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
"Penthouse En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,238,m²,"9,083,900",MXN,https://departamento.mercadolibre.com.mx/MLM-805533764-penthouse-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
Venta De Departamentos En Ciudad De MÃ©xico - Distrito Salamanca 31,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.42064,-99.17022,41,m²,"3,489,158",MXN,https://departamento.mercadolibre.com.mx/MLM-794949423-venta-de-departamentos-en-ciudad-de-mexico-distrito-salamanca-31-_JM
"Penthouse En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,244,m²,"9,229,500",MXN,https://departamento.mercadolibre.com.mx/MLM-805520099-penthouse-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
"Roma Sur, Fabuloso Ph En Venta",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,220,m²,"9,950,000",MXN,https://departamento.mercadolibre.com.mx/MLM-783526795-roma-sur-fabuloso-ph-en-venta-_JM
"Penthouse En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,184,m²,"8,168,700",MXN,https://departamento.mercadolibre.com.mx/MLM-805818027-penthouse-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
"Departamento En Venta En Cuauhtemoc, Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.403395,-99.165215,220,m²,"9,500,000",MXN,https://departamento.mercadolibre.com.mx/MLM-792947180-departamento-en-venta-en-cuauhtemoc-roma-sur-_JM
"Penthouse En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,183,m²,"8,127,100",MXN,https://departamento.mercadolibre.com.mx/MLM-805534703-penthouse-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
"Departamento En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,120,m²,"6,999,000",MXN,https://departamento.mercadolibre.com.mx/MLM-805208764-departamento-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
"Departamento En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,126,m²,"7,347,100",MXN,https://departamento.mercadolibre.com.mx/MLM-805497470-departamento-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
"Departamento En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,137,m²,"7,575,900",MXN,https://departamento.mercadolibre.com.mx/MLM-805172569-departamento-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
Departamento En Roma Sur En Planta Baja Sin Estacionamiento,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.409075,-99.161766,60,m²,"2,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-813540239-departamento-en-roma-sur-en-planta-baja-sin-estacionamiento-_JM
Departamento En Venta En La Condesa,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,90,m²,"5,700,000",MXN,https://departamento.mercadolibre.com.mx/MLM-774529324-departamento-en-venta-en-la-condesa-_JM
Departamentos Preventa La Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,145,m²,"8,558,030",MXN,https://departamento.mercadolibre.com.mx/MLM-820022726-departamentos-preventa-la-roma-_JM
Roma Sur Departamento Venta Cuauhtemoc Cdmx,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,81,m²,"5,600,000",MXN,https://departamento.mercadolibre.com.mx/MLM-782137605-roma-sur-departamento-venta-cuauhtemoc-cdmx-_JM
"Estrena Departamentos En Venta En La Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,120,m²,"7,610,000",MXN,https://departamento.mercadolibre.com.mx/MLM-794798154-estrena-departamentos-en-venta-en-la-roma-sur-cuauhtemoc-_JM
Departamento De 97 Metros En La Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,97,m²,"3,200,000",MXN,https://departamento.mercadolibre.com.mx/MLM-822616367-departamento-de-97-metros-en-la-roma-sur-_JM
"Departamento En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,134,m²,"7,991,900",MXN,https://departamento.mercadolibre.com.mx/MLM-805819982-departamento-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
"Preventa De Deptos En La Col. Roma Sur, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.409441,-99.1607,65,m²,"4,223,670",MXN,https://departamento.mercadolibre.com.mx/MLM-759906887-preventa-de-deptos-en-la-col-roma-sur-cdmx-_JM
"Departamento En Venta En Tlacotalpan, Roma Sur, CuauhtÃ©moc, Ciudad De MÃ©xico.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,141,m²,"7,887,900",MXN,https://departamento.mercadolibre.com.mx/MLM-805190875-departamento-en-venta-en-tlacotalpan-roma-sur-cuauhtemoc-ciudad-de-mexico-_JM
"Roma Sur, Hermoso Y Amplio Departamento Remodelado, Con Terraza",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,128,m²,"6,000,000",MXN,https://departamento.mercadolibre.com.mx/MLM-777160389-roma-sur-hermoso-y-amplio-departamento-remodelado-con-terraza-_JM
A Excelente Departamento Nuevo En Venta Con BalcÃ³n En Medellin 108 Colonia Roma DelegaciÃ³n CuauhtÃ©moc - Aldfcursme108401,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,107,m²,"6,400,000",MXN,https://departamento.mercadolibre.com.mx/MLM-736565688-a-excelente-departamento-nuevo-en-venta-con-balcon-en-medellin-108-colonia-roma-delegacion-cuauhtemoc-aldfcursme108401-_JM
Departamento En Venta En Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.410446,-99.16111,40,m²,"2,000,000",MXN,https://departamento.mercadolibre.com.mx/MLM-815495595-departamento-en-venta-en-roma-sur-_JM
"Departamento En Venta En La Condesa, Entrega Inmediata",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,92,m²,"6,037,000",MXN,https://departamento.mercadolibre.com.mx/MLM-774536984-departamento-en-venta-en-la-condesa-entrega-inmediata-_JM
Precioso Departamento En Venta En Roma Sur.,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,120,m²,"6,950,000",MXN,https://departamento.mercadolibre.com.mx/MLM-742050754-precioso-departamento-en-venta-en-roma-sur-_JM
Venta Departamento En La Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,111,m²,"6,580,413",MXN,https://departamento.mercadolibre.com.mx/MLM-758406782-venta-departamento-en-la-roma-_JM
"Venta De Departamento En Tlalcotalpan, Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405256,-99.16621,103,m²,"6,550,000",MXN,https://departamento.mercadolibre.com.mx/MLM-794306516-venta-de-departamento-en-tlalcotalpan-roma-sur-_JM
"Departamento De RecuperaciÃ³n Hipotecaria, Col. Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.401785,-99.1688,157,m²,"2,410,000",MXN,https://departamento.mercadolibre.com.mx/MLM-742579056-departamento-de-recuperacion-hipotecaria-col-roma-sur-_JM
Departamento De Entrega Inmediata En La Condesa,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,91,m²,"6,650,000",MXN,https://departamento.mercadolibre.com.mx/MLM-774547960-departamento-de-entrega-inmediata-en-la-condesa-_JM
"TorreÃ³n Y Tehuantepec, Departamentos De Lujo En Preventa, Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,140,m²,"7,900,000",MXN,https://departamento.mercadolibre.com.mx/MLM-769771684-torreon-y-tehuantepec-departamentos-de-lujo-en-preventa-roma-sur-_JM
Vendo Bonito Departamento A Pasos De La Condesa  En Col Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.400757,-99.16905,60,m²,"3,280,000",MXN,https://departamento.mercadolibre.com.mx/MLM-822197850-vendo-bonito-departamento-a-pasos-de-la-condesa-en-col-roma-_JM
Departamentos En Av. Monterrey Cerca Mb Campeche,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,53,m²,"3,660,500",MXN,https://departamento.mercadolibre.com.mx/MLM-824871867-departamentos-en-av-monterrey-cerca-mb-campeche-_JM
"Departamento En Venta En La Condesa, Entrega Inmediata",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,92,m²,"6,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-774542647-departamento-en-venta-en-la-condesa-entrega-inmediata-_JM
Depa En Col Roma Sur Para Estrenar Baja California 119,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.40637,-99.16202,80,m²,"4,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-791164039-depa-en-col-roma-sur-para-estrenar-baja-california-119-_JM
Venta De Excelentes Departamentos En Tlacotalpan Roma Sur CuauhtÃ©moc,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,120,m²,"8,700,000",MXN,https://departamento.mercadolibre.com.mx/MLM-827839358-venta-de-excelentes-departamentos-en-tlacotalpan-roma-sur-cuauhtemoc-_JM
Departamentos Nuevos En La Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.402925,-99.168045,113,m²,"7,250,000",MXN,https://departamento.mercadolibre.com.mx/MLM-815139615-departamentos-nuevos-en-la-roma-_JM
Penthouse De Tres Pisos,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.41874,-99.17646,110,m²,"12,000,000",MXN,https://departamento.mercadolibre.com.mx/MLM-760951175-penthouse-de-tres-pisos-_JM
"Sobre Av, Baja California Casi Esq, Monterrey, Roma Sur.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405975,-99.16208,65,m²,"4,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-760859354-sobre-av-baja-california-casi-esq-monterrey-roma-sur-_JM
"Rav9909, Roma Sur, Departamento En Venta",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.406153,-99.163185,100,m²,"3,650,000",MXN,https://departamento.mercadolibre.com.mx/MLM-815970823-rav9909-roma-sur-departamento-en-venta-_JM
Departamento - Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.39498,-99.13173,129,m²,"8,200,000",MXN,https://departamento.mercadolibre.com.mx/MLM-763186412-departamento-roma-_JM
Venta De Departamentos En Ciudad De MÃ©xico - Distrito Guanajuato 158,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.416128,-99.16159,140,m²,"10,951,344",MXN,https://departamento.mercadolibre.com.mx/MLM-794944702-venta-de-departamentos-en-ciudad-de-mexico-distrito-guanajuato-158-_JM
(s)venta De Departamentos Col. Roma Sur(s),Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,103,m²,"6,560,000",MXN,https://departamento.mercadolibre.com.mx/MLM-822059104-sventa-de-departamentos-col-roma-surs-_JM
Venta De IncreÃ­bles Departamentos En Tlacotalpan Roma Sur CuauhtÃ©moc,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,106,m²,"7,040,000",MXN,https://departamento.mercadolibre.com.mx/MLM-827839352-venta-de-increibles-departamentos-en-tlacotalpan-roma-sur-cuauhtemoc-_JM
"Departamento En Venta, De 2 Recamaras En Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,110,m²,"5,795,000",MXN,https://departamento.mercadolibre.com.mx/MLM-828926386-departamento-en-venta-de-2-recamaras-en-roma-sur-_JM
"Dvi1077.2 Departamento Nuevo, Precioso BalcÃ³n Lo Ilumina.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,126,m²,"9,150,000",MXN,https://departamento.mercadolibre.com.mx/MLM-780626320-dvi10772-departamento-nuevo-precioso-balcon-lo-ilumina-_JM
"Departamento En Roma Sur, Buena UbicaciÃ³n",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405495,-99.15549,100,m²,"5,400,000",MXN,https://departamento.mercadolibre.com.mx/MLM-765534588-departamento-en-roma-sur-buena-ubicacion-_JM
"Preventa De Departamento En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.402927,-99.16806,112,m²,"7,000,000",MXN,https://departamento.mercadolibre.com.mx/MLM-825599114-preventa-de-departamento-en-roma-sur-cuauhtemoc-_JM
Departamento En Venta Col Roma Remodelado Con Balcon,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.419899,-99.17521,120,m²,"5,635,000",MXN,https://departamento.mercadolibre.com.mx/MLM-827020827-departamento-en-venta-col-roma-remodelado-con-balcon-_JM
"TorreÃ³n Y Tehuantepec, Departamentos De Lujo En Preventa, Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405363,-99.16203,140,m²,"7,900,000",MXN,https://departamento.mercadolibre.com.mx/MLM-818444275-torreon-y-tehuantepec-departamentos-de-lujo-en-preventa-roma-sur-_JM
"Calle Baja California, Roma Sur. Estrena DeptoÂ¡Â¡",Venta,Distrito Federal,Cuauhtémoc,Roma Norte,19.406662,-99.15544,65,m²,"4,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-759007040-calle-baja-california-roma-sur-estrena-depto-_JM
Departamento En Venta Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.406153,-99.163185,67,m²,"3,700,000",MXN,https://departamento.mercadolibre.com.mx/MLM-802190686-departamento-en-venta-roma-sur-_JM
SÃ³lo Quedan 5 Departamentos De Lujo En Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405363,-99.16203,142,m²,"8,547,600",MXN,https://departamento.mercadolibre.com.mx/MLM-783823851-solo-quedan-5-departamentos-de-lujo-en-roma-sur-_JM
"Depto A La Venta En Bajio, Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Hipodromo Condesa,19.402164,-99.1704,100,m²,"5,400,000",MXN,https://departamento.mercadolibre.com.mx/MLM-791178102-depto-a-la-venta-en-bajio-roma-sur-_JM
"Depto En Venta, Baja California, Roma Sur.",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.406115,-99.16619,65,m²,"4,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-793982286-depto-en-venta-baja-california-roma-sur-_JM
"Vo Modernos Y Vanguardistas, Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.408813,-99.16464,82.1,m²,"8,558,030",MXN,https://departamento.mercadolibre.com.mx/MLM-784416036-vo-modernos-y-vanguardistas-roma-sur-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,62,m²,"3,700,500",MXN,https://departamento.mercadolibre.com.mx/MLM-812066850-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
Departamento En Venta Cuauhtemoc Roma Sur Baja California 11,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.406744,-99.1561,65,m²,"4,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-791303125-departamento-en-venta-cuauhtemoc-roma-sur-baja-california-11-_JM
"Departamento En Preventa En Tlacotalpan, Col. Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,186,m²,"8,990,000",MXN,https://departamento.mercadolibre.com.mx/MLM-829526847-departamento-en-preventa-en-tlacotalpan-col-roma-sur-_JM
Estrene Departamento En La Colonia Roma Norte De Super Lujo,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.417364,-99.159454,107,m²,"9,486,780",MXN,https://departamento.mercadolibre.com.mx/MLM-754077120-estrene-departamento-en-la-colonia-roma-norte-de-super-lujo-_JM
"Depto En Venta, Bajio Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.402164,-99.1704,100,m²,"5,400,000",MXN,https://departamento.mercadolibre.com.mx/MLM-808642679-depto-en-venta-bajio-roma-sur-_JM
Roma Sur Magnifico Y Tranquilo Departamento En Planta Baja,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.407612,-99.16694,120,m²,"6,980,000",MXN,https://departamento.mercadolibre.com.mx/MLM-821347194-roma-sur-magnifico-y-tranquilo-departamento-en-planta-baja-_JM
Departamento En Venta Colonia Roma CuauhtÃ©moc Ciudad De Mex,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.422115,-99.165054,130,m²,"5,980,000",MXN,https://departamento.mercadolibre.com.mx/MLM-788030350-departamento-en-venta-colonia-roma-cuauhtemoc-ciudad-de-mex-_JM
Venta De Departamento Con Roof Garden Privado En Colonia Roma Sur AlcaldÃ­a CuauhtÃ©moc,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405256,-99.16621,126,m²,"8,700,000",MXN,https://departamento.mercadolibre.com.mx/MLM-807273494-venta-de-departamento-con-roof-garden-privado-en-colonia-roma-sur-alcaldia-cuauhtemoc-_JM
"Departamento En Preventa En Tlacotalpan, Col. Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,181,m²,"8,730,000",MXN,https://departamento.mercadolibre.com.mx/MLM-829521948-departamento-en-preventa-en-tlacotalpan-col-roma-sur-_JM
Departamento Preventa Roma,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,181,m²,"6,580,413",MXN,https://departamento.mercadolibre.com.mx/MLM-751320772-departamento-preventa-roma-_JM
Roma Sur.- Excelente UbicaciÃ³n,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.406212,-99.158905,60,m²,"4,600,000",MXN,https://departamento.mercadolibre.com.mx/MLM-819162054-roma-sur-excelente-ubicacion-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,62,m²,"3,640,500",MXN,https://departamento.mercadolibre.com.mx/MLM-812063756-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
Roma - Cuauhtemoc,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.420479,-99.16852,103,m²,"5,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-793821307-roma-cuauhtemoc-_JM
Departamento En Venta En Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.401808,-99.16662,168,m²,"5,000,000",MXN,https://departamento.mercadolibre.com.mx/MLM-799261292-departamento-en-venta-en-roma-sur-_JM
"Departamento En Venta En Roma Sur Cuauhtemoc, Cd. De Mexico",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.379147,-99.12507,111,m²,"6,640,000",MXN,https://departamento.mercadolibre.com.mx/MLM-801998348-departamento-en-venta-en-roma-sur-cuauhtemoc-cd-de-mexico-_JM
Estrene Departamento En La Colonia Roma Norte De Super Lujo,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.417364,-99.159454,99,m²,"8,090,640",MXN,https://departamento.mercadolibre.com.mx/MLM-754084815-estrene-departamento-en-la-colonia-roma-norte-de-super-lujo-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,78,m²,"4,863,850",MXN,https://departamento.mercadolibre.com.mx/MLM-812063755-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
Roma Sur Departamento Venta Cuauhtemoc Cdmx,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,100,m²,"2,500,000",MXN,https://departamento.mercadolibre.com.mx/MLM-825590316-roma-sur-departamento-venta-cuauhtemoc-cdmx-_JM
"Departamento En Venta En La Calle Baja California, Colonia Roma Sur",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,70,m²,"4,300,000",MXN,https://departamento.mercadolibre.com.mx/MLM-812416042-departamento-en-venta-en-la-calle-baja-california-colonia-roma-sur-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,62,m²,"3,680,500",MXN,https://departamento.mercadolibre.com.mx/MLM-812070589-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
Vendo Departamento - Roma Sur,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.406252,-99.167625,84,m²,"4,870,000",MXN,https://departamento.mercadolibre.com.mx/MLM-760578220-vendo-departamento-roma-sur-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,64,m²,"3,765,150",MXN,https://departamento.mercadolibre.com.mx/MLM-812066861-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,68,m²,"4,883,850",MXN,https://departamento.mercadolibre.com.mx/MLM-812070594-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,115,700",MXN,https://departamento.mercadolibre.com.mx/MLM-812070570-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,75,m²,"4,712,900",MXN,https://departamento.mercadolibre.com.mx/MLM-812063763-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,66,m²,"3,733,600",MXN,https://departamento.mercadolibre.com.mx/MLM-812066867-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,68,m²,"3,835,325",MXN,https://departamento.mercadolibre.com.mx/MLM-812066864-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,035,700",MXN,https://departamento.mercadolibre.com.mx/MLM-812063757-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,64,m²,"3,745,150",MXN,https://departamento.mercadolibre.com.mx/MLM-812066863-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,055,700",MXN,https://departamento.mercadolibre.com.mx/MLM-812070600-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,65,m²,"4,075,700",MXN,https://departamento.mercadolibre.com.mx/MLM-812070593-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
"Departamento En Venta En Av Monterrey, Roma Sur, CuauhtÃ©moc, Cdmx",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,64,m²,"4,095,700",MXN,https://departamento.mercadolibre.com.mx/MLM-812070583-departamento-en-venta-en-av-monterrey-roma-sur-cuauhtemoc-cdmx-_JM
