Nombre de Publicación,Tipo de Inmueble,Estado,Ciudad,Colonia,Latitud,Longitud,Número de m2,Unidad de medida,Precio,Moneda,Link de la publicación
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,67,m²,"3,660,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831017605-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
"Departamento En Venta Roma Sur, Cuauhtemoc Parque Delta",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,92,m²,"3,680,000",MXN,https://departamento.mercadolibre.com.mx/MLM-830896773-departamento-en-venta-roma-sur-cuauhtemoc-parque-delta-_JM
Departamento En Venta Roma Norte,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,114,m²,"8,550,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831657417-departamento-en-venta-roma-norte-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,67,m²,"3,360,000",MXN,https://departamento.mercadolibre.com.mx/MLM-831013496-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
Tehuantepec Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.40485,-99.16317,99,m²,"5,977,038",MXN,https://departamento.mercadolibre.com.mx/MLM-830808562-tehuantepec-roma-sur-_JM
Acayucan Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.405012,-99.156944,67,m²,"4,100,000",MXN,https://departamento.mercadolibre.com.mx/MLM-830762082-acayucan-roma-sur-_JM
Huatabampo Roma Sur,Venta,Distrito Federal,Cuauhtémoc,,19.4074,-99.15713,99,m²,"6,079,500",MXN,https://departamento.mercadolibre.com.mx/MLM-830805061-huatabampo-roma-sur-_JM
"Departamentos En Venta En Roma Sur, CuauhtÃ©moc",Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,53,m²,"3,588,491",MXN,https://departamento.mercadolibre.com.mx/MLM-831075824-departamentos-en-venta-en-roma-sur-cuauhtemoc-_JM
Hermoso Departamento En Pre-venta De 149 M2 En Roma Sur.,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.405298,-99.164986,149,m²,"9,738,750",MXN,https://departamento.mercadolibre.com.mx/MLM-830825179-hermoso-departamento-en-pre-venta-de-149-m2-en-roma-sur-_JM
Venta Departamento  Roma Baja California,Venta,Distrito Federal,Cuauhtémoc,Roma Sur,19.406397,-99.16285,70,m²,"3,500,000",MXN,https://departamento.mercadolibre.com.mx/MLM-829610419-venta-departamento-roma-baja-california-_JM
